City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,sayanogorsk,53.0875,91.3997,32.07,82,100,10.65,RU,1701542124
307,techiman,7.5862,-1.9414,80.8,50,100,4.03,GH,1701542125
308,yola,9.2,12.4833,86.05,20,13,1.61,NG,1701542126
309,salinopolis,-0.6136,-47.3561,84.47,68,11,9.55,BR,1701542127
310,brookings,44.3114,-96.7984,38.05,62,0,20.71,US,1701542128
311,malvan,16.0667,73.4667,78.21,76,6,7.09,IN,1701542130
312,kourou,5.1552,-52.6478,89.65,59,99,7.49,GF,1701542132
313,baker city,44.7749,-117.8344,38.91,76,100,17.27,US,1701541887
314,zhalantun,48.0,122.7167,1.94,90,9,3.67,CN,1701542133
315,ugoofaaru,5.6667,73.0,82.69,77,100,6.96,MV,1701542134
316,antofagasta,-23.65,-70.4,67.28,67,10,12.8,CL,1701542135
317,hilton head island,32.2163,-80.7526,71.65,82,0,1.99,US,1701542136
318,middlebury (village),44.0153,-73.1673,43.23,94,100,3.44,US,1701542138
319,orenburg,51.7727,55.0988,32.05,82,100,16.73,RU,1701542139
320,yarega,63.4354,53.5765,20.88,95,99,2.26,RU,1701542140
321,castillos,-34.1667,-53.8333,75.7,74,100,4.88,UY,1701542141
322,farrokh shahr,32.2717,50.9801,31.26,51,0,2.3,IR,1701542142
323,manta,-0.95,-80.7333,87.58,51,40,5.75,EC,1701542022
324,kalevala,65.2,31.1667,16.09,94,100,8.99,RU,1701542143
325,amursk,50.2261,136.8994,-2.87,99,100,2.93,RU,1701542144
326,gouyave,12.1646,-61.7296,86.77,70,40,16.11,GD,1701542145
327,kerikeri,-35.2268,173.9474,63.91,92,100,5.35,NZ,1701542146
328,bantogon,6.5333,124.0333,78.46,82,28,3.94,PH,1701542147
329,saint clairsville,40.0806,-80.9001,58.93,75,100,7.0,US,1701542147
330,kununurra,-15.7667,128.7333,80.58,78,76,1.14,AU,1701542148
331,mgandu,-5.95,34.1333,70.99,64,99,2.82,TZ,1701542149
332,blackfoot,43.1905,-112.345,34.77,95,100,16.55,US,1701542150
333,anori,-3.7728,-61.6442,80.89,80,100,2.86,BR,1701542151
334,hayang,35.9133,128.82,35.37,69,20,5.75,KR,1701542152
335,mel'nikovo,56.5558,84.085,25.25,94,99,8.03,RU,1701542153
336,santiago de cao,-7.9589,-79.2392,71.73,78,68,13.8,PE,1701542154
337,waspan,14.7419,-83.9717,85.5,69,46,7.74,NI,1701542155
338,arteche,12.2645,125.4048,78.19,88,52,9.33,PH,1701542155
339,lexington,37.9887,-84.4777,57.33,85,75,3.44,US,1701542113
340,brevard,28.292,-80.7492,87.06,76,100,5.99,US,1701542157
341,nizhnyaya poyma,56.1622,97.1933,22.59,84,100,12.19,RU,1701542158
342,negotino,41.4839,22.0892,54.01,78,19,6.8,MK,1701542159
343,yuzhno-kurilsk,44.0306,145.8556,34.38,64,10,10.25,RU,1701542160
344,hobyo,5.3505,48.5268,79.75,72,100,17.98,SO,1701542160
345,sinop,41.7711,34.8709,52.86,67,11,14.7,TR,1701542161
346,karratha,-20.7377,116.8463,77.13,77,0,11.34,AU,1701542162
347,kikwit,-5.041,18.8162,71.89,95,79,1.88,CD,1701542163
348,yung shue wan,22.2333,114.1167,70.63,78,89,1.01,HK,1701542164
349,holualoa,19.6228,-155.9522,76.87,87,100,0.0,US,1701542165
350,tocopilla,-22.092,-70.1979,70.95,66,18,11.05,CL,1701542166
351,tuy hoa,13.0833,109.3,75.13,94,96,3.62,VN,1701542167
352,murghob,38.1702,73.9667,20.86,41,100,4.27,TJ,1701542168
353,nicoya,10.1483,-85.452,87.3,58,10,7.56,CR,1701542170
354,oruro,-17.9833,-67.15,64.76,28,91,3.0,BO,1701542171
355,yarmouth,41.7057,-70.2286,53.96,93,100,12.66,US,1701542172
356,xiaoshi,41.2971,124.1209,15.19,92,6,1.88,CN,1701542173
357,plettenberg bay,-34.0527,23.3716,62.67,90,17,2.15,ZA,1701542173
358,mishkovo-pohorilove,46.9995,32.118,52.75,96,100,13.78,UA,1701542174
359,keflavik,64.0049,-22.5624,30.63,74,0,6.91,IS,1701542175
360,labytnangi,66.6572,66.4183,4.69,93,100,14.47,RU,1701542176
361,saudarkrokur,65.7461,-19.6394,23.97,78,36,3.33,IS,1701542177
362,lorengau,-2.0226,147.2712,79.83,82,76,4.21,PG,1701542178
363,nuku'alofa,-21.1333,-175.2,79.14,89,20,10.36,TO,1701542179
364,alaghsas,17.0187,8.0168,85.89,8,0,3.44,NE,1701542180
